Unnamed: 0,Id,Tag,Explanation
0,no darse cuenta,cr3,Dado que la cláusula establece que el proveedor tiene derecho a eliminar contenido y material sin previo aviso
1,no recuperar,cr3,Dado que la cláusula establece que el proveedor tiene derecho a eliminar contenido y material sin posibilidad de recuperar dicho contenido y material.
2,plena discreción,cr3,"Dado que la cláusula establece que el proveedor tiene derecho a eliminar contenido y material por cualquier motivo, a su total discreción."
3,violación de la ley,cr2,"Dado que la cláusula establece que el proveedor tiene derecho a eliminar contenido y material para cumplir con la ley aplicable, si cree de buena fe que existe un caso de violación de la ley, incluidas infracciones de propiedad intelectual."
4,violación del término,cr2,"Dado que la cláusula establece que el proveedor tiene derecho a eliminar contenido y material si cree que existe un caso de violación de términos como transferencia de cuenta, políticas, estándar, código de conducta."
5,contenidoobj,cr2,"Dado que la cláusula establece que el proveedor tiene derecho a eliminar contenido y material que considere ofensivo, obsceno, abusivo, dañino, objetable, inexacto, inapropiado."
6,cumplir,cr2,"Dado que la cláusula establece que el proveedor tiene derecho a eliminar contenido y material para cumplir con la orden o solicitud de un tribunal, aplicación de la ley, otra agencia administrativa u organismo gubernamental."
7,protección de servicio,cr2,"Dado que la cláusula establece que el proveedor tiene derecho a eliminar contenido y material que considere dañino o que cree amenazas para la propiedad, el Sitio o los Servicios del proveedor, o para los consumidores."
8,fallo de criterio,cr2,Dado que la cláusula establece que el proveedor tiene derecho a eliminar contenido y material si no se cumple algún criterio de calidad o elegibilidad aplicable.
9,queja,cr2,"Dado que la cláusula establece que el proveedor tiene derecho a eliminar contenido y material en caso de quejas sobre el desempeño, conducta, contenido publicado e información de los usuarios."
10,clasificación,cr2,Dado que la cláusula establece que el proveedor tiene derecho a eliminar contenido y material en caso de malas calificaciones o reseñas.
11,prevención del fraude,cr2,Dado que la cláusula establece que el proveedor tiene derecho a eliminar contenido y material para evitar fraudes y actividades ilegales.
12,seguridad personal,cr2,Dado que la cláusula establece que el proveedor tiene derecho a eliminar contenidos y materiales para proteger la seguridad personal.
13,responsabilidad,cr2,Dado que la cláusula establece que el proveedor tiene derecho a eliminar contenido y material si pudiera someter al proveedor a responsabilidad.
14,derecho,cr2,"Dado que la cláusula establece que el proveedor tiene derecho a eliminar contenidos y materiales si constituyen una violación de derechos de terceros, incluidas las marcas comerciales."
15,suspender,cr2,Dado que la cláusula establece que el proveedor tiene derecho a eliminar contenidos y materiales en caso de suspensión o terminación.
16,inactivo,cr2,Dado que la cláusula establece que el proveedor tiene derecho a eliminar contenidos y materiales en caso de inactividad de los usuarios.
