Unnamed: 0,Id,Tag,Explanation
0,medida,ltd2,"ya que la cláusula establece que, salvo que lo exija la ley, o en la máxima medida permitida por la ley aplicable, el proveedor no es responsable, o que los usuarios son los únicos responsables de garantizar que los Términos de uso/servicio cumplan con todas las leyes, normas y regulaciones."
1,discontinuación,ltd2,"ya que la cláusula establece que el proveedor no es responsable de ningún problema técnico, falla, suspensión, interrupción, modificación, interrupción, indisponibilidad del servicio, cualquier cambio unilateral, terminación unilateral, limitación unilateral que incluye límites a ciertas funciones y servicios o restricción de acceso a partes o la totalidad del Servicio sin previo aviso."
2,compharm,ltd2,"ya que la cláusula establece que el proveedor no es responsable de daños o perjuicios al hardware y software, incluidos virus, malware, gusanos, troyanos o cualquier contaminación o programa destructivo similar."
3,cualquier daño,ltd2,"ya que la cláusula establece que el proveedor no es responsable de ningún daño especial, directo y/o indirecto, punitivo, incidental o consecuente, incluyendo negligencia, daño o falla"
4,cantidad,ltd2,"ya que la cláusula establece que la compensación por responsabilidad o responsabilidad agregada se limita a, o no debe exceder, una cierta cantidad total, o que el único remedio es dejar de usar el servicio y cancelar la cuenta, o que no puede recuperar ningún daño o pérdida."
5,lesión,ltd3,"ya que la cláusula establece que el proveedor no es responsable por ofensa intencional y daños, lesiones físicas o personales, incluida la muerte"
6,tercero,ltd2,"ya que la cláusula establece que el proveedor no es responsable de ninguna acción, error, omisión, representación, garantía, incumplimiento o negligencia tomada de terceros, terceros proveedores de servicios, proveedores u otras personas, actos de cualquier gobierno y autoridad, incluidos servicios y productos, costos adicionales, cumplimiento de derechos de autor, legalidad o decencia del material, contenido y enlace publicado por otros, incluidos los usuarios."
7,seguridad,ltd2,"ya que la cláusula establece que el prestador no se hace responsable de cualquier daño derivado de una brecha de seguridad, incluidos cualquier acceso no autorizado, alteración y modificación de datos, transmisión de datos"
8,reputación,ltd2,ya que la cláusula establece que el proveedor no es responsable de los daños o pérdidas a la reputación y la buena voluntad
9,cualquier pérdida,ltd2,"ya que la cláusula establece que el proveedor no es responsable de ninguna pérdida resultante del uso del servicio o del sitio web, incluida la pérdida de ganancias, la pérdida de oportunidades, la pérdida de negocios o la pérdida de ventas."
10,negligencia grave,ltd3,ya que la cláusula establece que el proveedor no es responsable por negligencia grave
11,conciencia,ltd2,"ya que la cláusula establece que el proveedor no es responsable incluso si estaba, o debería haber estado, consciente o haber sido advertido sobre la posibilidad de cualquier daño o pérdida."
12,fracaso del contrato,ltd2,"ya que la cláusula establece que el proveedor no es responsable de ningún incumplimiento en el cumplimiento del contrato y los términos y obligaciones, incluida la indisponibilidad o falla en el suministro de productos y servicios, incumplimiento del acuerdo, falta de cumplimiento"
13,pérdida de datos,ltd2,"ya que la cláusula establece que el proveedor no es responsable de ninguna divulgación, daño, destrucción, corrupción, falta de almacenamiento o pérdida de datos y materiales."
14,contenido,ltd2,"ya que la cláusula establece que el proveedor no es responsable de ninguna información almacenada o procesada dentro de los Servicios, inexactitudes o errores de información, contenido y material publicado, software, productos y servicios en el sitio web, incluida la violación de derechos de autor, difamación, calumnia, calumnia, falsedades, obscenidad, pornografía, blasfemia o material objetable."
15,teorías de la responsabilidad,ltd2,"ya que la cláusula establece que el proveedor no es responsable según diferentes teorías de responsabilidad, incluido el derecho de daños, el derecho contractual, la responsabilidad estricta, la responsabilidad legal, la responsabilidad del producto y otras teorías de responsabilidad."
16,ecología,ltd2,"ya que la cláusula establece que el proveedor no es responsable de ninguna pérdida de beneficios, pérdida de ingresos, pérdida de oportunidades, pérdida de negocios o pérdida de ventas, pérdida de ingresos"
17,ful_ext_law,ltd2,"ya que la responsabilidad se excluye utilizando una frase general como ""en la máxima medida permitida por la ley""."
18,srv_con_liab,ltd2,"Se excluye la responsabilidad en casos relacionados con la disponibilidad, usabilidad, confiabilidad o legalidad del servicio, sitio web y/o contenido del usuario, incluida la exactitud de la información publicada en el sitio web y la funcionalidad del software del proveedor de servicios, incluidos los daños que surjan de actuar sobre la información disponible en el sitio web del proveedor, o por daños resultantes del tiempo de inactividad del servicio o la falta de disponibilidad para el usuario, o cambios en elementos virtuales como moneda en el sistema o espadas mágicas."
19,bruto_neg,ltd3,La exclusión de responsabilidad incluye casos de negligencia grave.
20,datos_vir_mal,ltd2,"Se excluye la responsabilidad por la pérdida, corrupción o daño de datos ya sea causado por virus, troyanos, malware u otras actividades y/o errores maliciosos, incluidos cualquier ataque de piratería y otros usos no autorizados."
21,daño_físico,ltd3,Se excluye la responsabilidad también en caso de daños físicos o personales.
22,tercero,ltd2,"Se excluye la responsabilidad por las acciones, contenidos y/o servicios de terceros, incluso cuando estén alojados en otros sitios web o en otros recursos."
23,límite_gen,ltd2,"desde que se introduce una limitación o exclusión genérica o abierta de responsabilidad relacionada con el servicio, por ejemplo, responsabilidad por ""cualquier daño indirecto o incidental"", ""responsabilidad que surja de o en conexión con estos Términos"" o similar, o una limitación pecuniaria general de responsabilidad más allá de una cantidad especificada."
